Company,Parent Company,Location,City,County,Address,Zip,Project Description,NAICS Industry Code,Year,Subsidy Value,Megadeal Contribution,Subsidy Value Adjusted For Megadeal,Program Name,Awarding Agency,Type of Subsidy,Number of Jobs or Training Slots,Wage Data,Wage Data Type,Investment Data,Source of Data,Notes,Subsidy Source,CFDA Program Number,Loan Value,State in Which Facility Is Located,Major Industry of Parent
Synapse Downtown LLC,,New York,SYRACUSE,,327-335 East Water St,13202,Renovate building at 327335 East Water St (former Water St Gym) into a an office space which will be LEED Platinum certified. Benefits provided by SIDA constitute exemption for mortgage and sales & use tax. Real property tax exemption is also provided in the form a PILOT agreement.,,2011,"$21,131 ",$0 ,"$21,131 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
Thorntree Hotel Corporation Project,,New York,Syracuse,St. Lawrence,705 Erie Boulevard West,13204,,,2003,"$21,096 ",$0 ,"$21,096 ",Industrial Development Agencies,St. Lawrence Co. IDA,tax credit/rebate; property tax abatement,14,,,"$3,065,090 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
"Forest View at Fayette, LLC",,New York,SYRACUSE,,1201 East Fayette Street Suite 22,13210,Income restricted care home for frail elderly seniors. Salary information not gathered on this project.,,2011,"$20,969 ",$0 ,"$20,969 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
"Forest View at Fayette, LLC",,New York,SYRACUSE,,1201 East Fayette Street Suite 22,13210,Civic Facility,,2014,"$20,845 ",$0 ,"$20,845 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
Center Armory Facility,,New York,Syracuse,Onondaga,108 West Jefferson Street,13202,,,2005,"$20,660 ",$0 ,"$20,660 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,60,,,,unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
"Forest View at Fayette, LLC",,New York,SYRACUSE,,1201 East Fayette Street Suite 22,13210,Income restricted care home for frail elderly seniors. Salary information not gathered on this project.,,2010,"$20,431 ",$0 ,"$20,431 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
WILLOW STREET LOFTS,,New York,SYRACUSE,Onondaga,221 DIVISION STREET,13204,,,2006,"$19,918 ",$0 ,"$19,918 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,0,,,"$5,867,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Capital Health Care Linens,,New York,Syracuse,Rensselaer,414 West Taylor St,13203,,,2004,"$19,459 ",$0 ,"$19,459 ",Industrial Development Agencies,Rensselaer Co. IDA,tax credit/rebate; property tax abatement,28,,,,unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Capital Health Care Linens,,New York,Syracuse,Rensselaer,,13203,,,2003,"$18,701 ",$0 ,"$18,701 ",Industrial Development Agencies,Rensselaer Co. IDA,tax credit/rebate; property tax abatement,40,,,,unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
"Franklin Lofts, LLC",,New York,SYRACUSE,,221 West Division Street,13207,Renovation of vacant building into apartments.  Salary information not gathered on this project.,,2012,"$18,214 ",$0 ,"$18,214 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,created: 120; retained: 0,salary created: 0; salary retained: 0,estimated salary,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs and wages are estimates.,local,,$0 , ," """""
"MAC Source Communications, Inc",,New York,SYRACUSE,,509 Erie blvd East,13202,"PILOT commenced 7/1/13. Renovation and conversion of the building at 509 Erie Blvd West (a former Byrne Dairy warehouse) into a commercial office and warehouse facility.  The 20,000.00 sq ft building sits on a 2.5 acre site and was vacant.Salary information not collected on this project.  ",,2013,"$18,024 ",$0 ,"$18,024 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
Prospect Hill Homes Project,,New York,SYRACUSE,,1201 E Fayette Stret,13210,Various Addresses.  Salary dollar information not accumulated on this project. Project was under construction at the end of 2009.,,2012,"$17,564 ",$0 ,"$17,564 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,created: 2; retained: 0,salary created: 0; salary retained: 0,estimated salary,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs and wages are estimates.,local,,$0 , ," """""
"Forest View at Fayette, LLC",,New York,SYRACUSE,,1201 East Fayette Street Suite 22,13210,Income restricted care home for frail elderly seniors.  Salary information not gathered on this project.,,2013,"$17,455 ",$0 ,"$17,455 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
Intrepid Lane Facility,,New York,Syracuse,,,,,,2008,"$17,043 ",$0 ,"$17,043 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,2,,,"$1,625,000 ",spreadsheet posted by Office of the State Comptroller at http://www.osc.state.ny.us/localgov/pubs/research/idaprojects2008.xls,subsidy value is amount awarded; jobs and investment figures are projected,local,,$0 , ," """""
"Coleman's Properties, LLC",,New York,Syracuse,,100 South Lowell Ave.,13204,,,2007,"$17,022 ",$0 ,"$17,022 ",Industrial Development Agencies,Oswego Co. IDA,tax credit/rebate; property tax abatement,20,,,,unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Rock Tenn Solvay Mill,,New York,SYRACUSE,,53 Industrial Drive,13204,Manufacturing,,2014,"$16,843 ",$0 ,"$16,843 ",Industrial Development Agencies,Onondaga County Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
"Crawford & Castro, LLC",,New York,SYRACUSE,,201 Solar Street,13204,"Finance, Insurance and Real Estate",,2014,"$16,145 ",$0 ,"$16,145 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
VIP Architectural Associates Facility,,New York,SYRACUSE,,471 - 481 Oswego Boulevard,13202,Renovation of vacant building into offices. Salary information not gathered on this project.,,2010,"$16,117 ",$0 ,"$16,117 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
Capital Health Care Linens,,New York,Syracuse,Rensselaer,414 West Taylor St,13203,,,2006,"$15,692 ",$0 ,"$15,692 ",Industrial Development Agencies,Rensselaer Co. IDA,tax credit/rebate; property tax abatement,58,,,,unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
"Forest View at Fayette, LLC",,New York,SYRACUSE,,1201 East Fayette Street Suite 22,13210,,,2007,"$15,346 ",$0 ,"$15,346 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,5,,,"$2,002,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
D&O/NYS&W,,New York,SYRACUSE,,Railroad,13202,"Assistance for the operation of the Utica, Binghamton, Syracuse Branchline being acquired from CONRAIL.",,2009,"$15,291 ",$0 ,"$15,291 ",Industrial Development Agencies,Onondaga County Industrial Development Agency,tax credit/rebate; property tax abatement,0,,,"$3,500,000 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs number is total of estimated created and estimated retained (including construction jobs).,local,,$0 , ," """""
Anoplate Corporation Facility,,New York,SYRACUSE,,Anoplate Corporation,13204,Renovation of manufacturing facility into state of the are facility. Salary information not gathered on this project.,,2009,"$15,146 ",$0 ,"$15,146 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,99,,,"$3,104,500 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs number is total of estimated created and estimated retained (including construction jobs).,local,,$0 , ," """""
Morgan Pond St. LLC,,New York,SYRACUSE,,700 First North Street & Pond Street,13208,PILOT starts 7/1/13,,2013,"$14,967 ",$0 ,"$14,967 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
"432 North Franklin Properties, Inc.",,New York,Syracuse,Onondaga,,, C734089 432 North Franklin Street ,,2008,"$14,390 ",$0 ,"$14,390 ",Brownfield Cleanup Program Tax Credit,Department of Taxation and Finance,tax credit/rebate,,,,"$143,902 ",http://www.tax.ny.gov/research/stats/statistics/special_interest_reports/brownfield_credit/brownfield_credit_reports.htm,subsidy value is amount claimed; investment amount is actual,state,,$0 , ," """""
Morgan Pond St. LLC,,New York,SYRACUSE,,700 First North Street & Pond Street,13208,Retail Trade,,2014,"$14,180 ",$0 ,"$14,180 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
Intrepid Lane Facility - Construction Loan,,New York,SYRACUSE,,190 Intrepid Lane,13205,"New construction Loan fro project completely refinanced in 2009. Original project (31020102A) is being treated as a continuing project at 12/31/2009. Jobs,etc. data is reported under 31020901A.",,2009,"$14,000 ",$0 ,"$14,000 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,0,,,"$1,400,000 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs number is total of estimated created and estimated retained (including construction jobs).,local,,$0 , ," """""
Atrium Facility,,New York,Syracuse,,,,,,2008,"$13,750 ",$0 ,"$13,750 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,0,,,"$1,375,000 ",spreadsheet posted by Office of the State Comptroller at http://www.osc.state.ny.us/localgov/pubs/research/idaprojects2008.xls,subsidy value is amount awarded; jobs and investment figures are projected,local,,$0 , ," """""
Center Armory Facility,,New York,Syracuse,Onondaga,108 West Jefferson Street,13202,,,2006,"$13,330 ",$0 ,"$13,330 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,60,,,,unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Cruicible Materials Corporation,,New York,Syracuse,Onondaga,5715 State Fair Boulevard,13201,,,2004,"$13,195 ",$0 ,"$13,195 ",Industrial Development Agencies,Onondaga Co. IDA,tax credit/rebate; property tax abatement,875,,,,unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Synapse Downtown LLC,,New York,SYRACUSE,,327-335 East Water St,13202,"Finance, Insurance and Real Estate",,2014,"$13,140 ",$0 ,"$13,140 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
Intrepid Lane Facility - 2009 Refinancing,,New York,SYRACUSE,,190 Intrepid lane,13205, Project terminated 11/19/13. Refinancing of 2001 Project (31020102A). Original Project has been completely refinanced. No salary information has been gathered on this project.,,2013,"$12,581 ",$0 ,"$12,581 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
432 North Franklin Street Facility,,New York,SYRACUSE,,"432 North Franklin Properties, LLC",13204,Refurbished old factory into new office building.  Salary information not gathered on this project.,,2012,"$12,458 ",$0 ,"$12,458 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,created: 100; retained: 0,salary created: 0; salary retained: 0,estimated salary,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs and wages are estimates.,local,,$0 , ," """""
432 North Franklin Street Facility,,New York,SYRACUSE,,432 North Franklin Street,13204,"Finance, Insurance and Real Estate",,2014,"$11,521 ",$0 ,"$11,521 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
"Forest View at Fayette, LLC",,New York,SYRACUSE,,1201 East Fayette Street Suite 22,13210,Income restricted care home for frail elderly seniors.  Salary information not gathered on this project.,,2012,"$11,460 ",$0 ,"$11,460 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,created: 5; retained: 0,salary created: 0; salary retained: 0,estimated salary,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs and wages are estimates.,local,,$0 , ," """""
Intrepid Lane Facility,,New York,SYRACUSE,,5719 Widewaters Parkway,13214,,,2007,"$11,291 ",$0 ,"$11,291 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,2,,,"$1,625,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
One Park Place Facility,,New York,Syracuse,Onondaga,250 South Clinton Street,13202,,,2003,"$10,827 ",$0 ,"$10,827 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,935,,,"$10,752,570 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
"Crawford & Castro, LLC",,New York,SYRACUSE,,201 Solar Street,13204,,,2013,"$10,752 ",$0 ,"$10,752 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
Applied Theory Corporation (Mr. Angelo Gencanelli),,New York,Syracuse,Onondaga,224 Harrison Street,13202,,,2003,"$10,669 ",$0 ,"$10,669 ",Industrial Development Agencies,Onondaga Co. IDA,tax credit/rebate; property tax abatement,275,,,,unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
"Near Westside Initiative, Inc",,New York,SYRACUSE,,109-15 Otisco St & Wyoming St,13204,"Gut renovation of former Lincoln Supply Building @ 109 Otisco St (30,500 sq ft) into mixed use four story building. Floors 1 & 2: Commercial space. Floors 3 & 4: 10 apartments. $1 million dollar bridge loan. Salary information not gathered on this project. ",,2010,"$10,000 ",$0 ,"$10,000 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
Anoplate Corporation Facility,,New York,Syracuse,Onondaga,400 Pulaski Street,13204,,,2006,"$9,999 ",$0 ,"$9,999 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,311,,,"$3,104,500 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Intrepid Lane Facility - Construction Loan,,New York,SYRACUSE,,190 Intrepid Lane,13205,"New construction Loan fro project completely refinanced in 2009. Original project (31020102A) is being treated as a continuing project at 12/31/2009. Jobs,etc. data is reported under 31020901A.",,2011,"$9,977 ",$0 ,"$9,977 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
218 South West Realty LLC,,New York,SYRACUSE,,219 South West St,13202,"Renovation of 219 South West St into a mixed use facility including recording studio, lobby space for the Read House Theater next door, music school, rehearsal studio and office space.  Residential units on 3rd floor will house artists in residence and provide accommodations for visiting artist groups. Sales tax exemption, PILOT to begin 2011/2012.  Salary information not gathered on this project.",,2013,"$9,939 ",$0 ,"$9,939 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
Specialists One Day Surgery - Mortage Refinaning,,New York,SYRACUSE,,190 Intrepid Lane,13205,Refinancing of 2001 project. Debt of original project (31020902) was completely paid off as of 12/31/2009.,,2009,"$9,882 ",$0 ,"$9,882 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,4,,,"$600,000 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs number is total of estimated created and estimated retained (including construction jobs).,local,,$0 , ," """""
Amos Building Project,,New York,SYRACUSE,,227 West Fayette Street,13202,"Renovate vacant building into mixed use:  Retail, apartments.  Salary information not gathered on this project.",,2012,"$9,544 ",$0 ,"$9,544 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,created: 80; retained: 0,salary created: 0; salary retained: 0,estimated salary,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs and wages are estimates.,local,,$0 , ," """""
Franklin Lofts Facility,,New York,Syracuse,,,,,,2008,"$9,500 ",$0 ,"$9,500 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,0,,,"$950,000 ",spreadsheet posted by Office of the State Comptroller at http://www.osc.state.ny.us/localgov/pubs/research/idaprojects2008.xls,subsidy value is amount awarded; jobs and investment figures are projected,local,,$0 , ," """""
Intrepid Lane Facility,,New York,SYRACUSE,,5719 Widewaters Parkway,13214,New construction of medical offices.  Salary information not gathered on this project.2009 Update  Project was refinanced in 2009. See 31020901A and 31020901B for reporting of information on this project.,,2012,"$7,818 ",$0 ,"$7,818 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,created: 2; retained: 0,salary created: 0; salary retained: 0,estimated salary,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs and wages are estimates.,local,,$0 , ," """""
"Cameron Hill Construction, LLC",,New York,SYRACUSE,,601 University Avenue,13210,"PILOT to commence 7/1/15. Construction of an approximate 85,000 sq. ft. building on land leased from Syracuse University consisting of a 43,365 sq. ft. bookstore and a 34, 750 sq. ft. fitness center to be leased back to the University and additional 7,290 sq. ft. of commercial space.",,2013,"$7,558 ",$0 ,"$7,558 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
VIP Architectural Associates Facility,,New York,SYRACUSE,,471 - 481 Oswego Boulevard,13202,Renovation of vacant building into offices. Salary information not gathered on this project.,,2011,"$7,269 ",$0 ,"$7,269 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
Synapse Downtown LLC,,New York,SYRACUSE,,327-335 East Water St,13202,Renovate building at 327335 East Water St (former Water St Gym) into a an office space which will be LEED Platinum certified.  Benefits provided by SIDA constitute exemption for mortgage and sales & use tax.  Real property tax exemption is also provided in the form a PILOT agreement.,,2013,"$7,225 ",$0 ,"$7,225 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
Jefferson Clinton Commons Project,,New York,SYRACUSE,,120 E. washington Street,13202,"500 Clinton St S & Jefferson: Mixed use commercial real estate rental, office, residential condominiums and parking. Salary information not gathered on this project. ",,2011,"$6,939 ",$0 ,"$6,939 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
Intrepid Lane Facility - 2009 Refinancing,,New York,SYRACUSE,,190 Intrepid lane,13205,Refinancing of 2001 Project (31020102A). Original Project has been completely refinanced. No salary information has been gathered on this project.,,2012,"$6,818 ",$0 ,"$6,818 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,created: 2; retained: 0,salary created: 0; salary retained: 0,estimated salary,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs and wages are estimates.,local,,$0 , ," """""
"Basin Associates, LLC. (Mr. Brian F. Maher)",,New York,Syracuse,Onondaga,250 S. Clinton Street,13202,,,2005,"$6,624 ",$0 ,"$6,624 ",Industrial Development Agencies,Onondaga Co. IDA,tax credit/rebate; property tax abatement,50,,,"$4,543,793 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
